raw_data
"Id: 329849
UserId: A1YZYHCKDK2K4I
ProfileName: Santorini
HelpfulnessNumerator: 2
HelpfulnessDenominator: 2
Score: 5
Time: 1328832000
Summary: My Pooch loves them
Text: Since my pet does not like having his teeth cleaned, I have been giving him greenies for the past six years.  Each vet check-up confirms that he has no plaque buildup.  He is a picky eater but loves the taste of them as well."
"Id: 329946
UserId: A1JSXH2JWFMOU4
ProfileName: Lynw21 ""Lyn""
HelpfulnessNumerator: 1
HelpfulnessDenominator: 2
Score: 5
Time: 1314144000
Summary: great product
Text: I was amazed at how well these cleaned my dogs teeth. He is not happy with getting his teeth brushed, especially in the back, the Greenies have assisted with cleaning this hard to reach area. I have read other reviews where people have had trouble with their dogs trying to chew off too much and choking or what-ever - my solution stay with your dog as they chew anything this is just plain common sense. I also give it after his evening meal so that he won't try to swallow to big of bites."
"Id: 563717
UserId: A13VH0PS4SKVDF
ProfileName: Karen
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1341792000
Summary: Quaker soft baked oatmeal cookie
Text: I rec'd this product from influenster and Quaker for testing purposes. I've always enjoyed Quaker oats from the hot oatmeal, down to the cookie itself. Quaker soft baked oatmeal cookie is made with whole grain Quaker oats, At least 10 grams of whole grains per serving.<br />Made with real fruit, Good source of fiber, delicious. Quaker oats been around since over a hundred years."
"Id: 329791
UserId: A3V8UMB6LJ5V6K
ProfileName: wildwns ""wildwns""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1307145600
Summary: Great product for your dog !
Text: Have used greenies since they came out and they definitely help keep your dog's teeth clean. My dog gets excited about being treated to a Greenie everyday. The pricing was very attractive through Amazon, as much as half of what you would pay at a pet store. Very impressed with the product."
"Id: 30775
UserId: A3H4FFQ4AYZORO
ProfileName: Kevin A. Dixon ""Mark""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 2
Time: 1349049600
Summary: Not my cup of tea
Text: Salt and vinegar is just ok to me.<br />They are not in the same league of utz Salt and vinegar potato chips.<br /><br />Just ok<br /><br />Not enough taste to them."
"Id: 330034
UserId: A23QGDSKN3IVBH
ProfileName: badmustang
HelpfulnessNumerator: 1
HelpfulnessDenominator: 1
Score: 5
Time: 1324252800
Summary: Great treat for you dog while improving their tooth health
Text: Greenies are a great product that dogs love and while they are enjoying their daily treat, they are actually keeping their teeth  and gums clean.  I always share the information on Greenies when people ask how I keep my 6 year old Yellow Labradors teeth so clean.  I'd always thought they were a bit expensive but Amazon has brought them to us at a more affordable price.  We have chosen the lite variety to keep our lab a bit trimmer in weight.  A good product at a reasonable price....Thanks"
"Id: 30941
UserId: AJFXMVJTGGHTY
ProfileName: Wade Osborne ""Wade Osborne""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1312761600
Summary: great chips
Text: Pop Chips are the best chips I've had that are low calorie. The originals are my favorite but the Sea Salt and Vinegar are very very good also."
"Id: 329818
UserId: A2564RU496D0CH
ProfileName: Susan D ""Susan D""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1298073600
Summary: A little pricey, but worth the $
Text: Our full sized Goldendoodle gets one every day.  According to our vet, his teeth and gums ""look great"".  I also have purchased the feline greenies for my daughter when she complained that hr cat had ""bad breath"".  3 chews/3 days later=no more bad breath."
"Id: 563247
UserId: A3ADADIUY2VMQY
ProfileName: erica
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1342224000
Summary: Soft Baked cookies
Text: These cookies are so good and soft.. I love these cookies eat atleast one everyday I find littles one's love them as well.. You can't go wrong with these cookies plus they are good for you.."
"Id: 367936
UserId: A39UBUU4Z6EYRI
ProfileName: HandsomeHannah
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1336176000
Summary: frhgthyrfedws yeyeyey
Text: I really like this oil. Its amazing. I use it for my hair, and skin, and omfg. The first treatment I did to my hair, made it silky soft, shiny, and, it was not frizzy. Thank teh lard. And I used it on my gigantic pimple, the first 10 minutes, the redness from my pimple went away, and overnight, my pimple shrunk a decent amount. I havent consumed this yet. Not planning to. Just a (natural) beauty product for me."
"Id: 329416
UserId: AVTY5M74VA1BJ
ProfileName: tarotqueen
HelpfulnessNumerator: 1
HelpfulnessDenominator: 1
Score: 5
Time: 1316822400
Summary: dogs love greenies
Text: What can I say, dogs love greenies. They begg for them all the time. They always sit by the cupboard and ask for more."
"Id: 367735
UserId: A35Y8W1L9I71T4
ProfileName: M. Flournoy ""e1337""
HelpfulnessNumerator: 29
HelpfulnessDenominator: 29
Score: 5
Time: 1290470400
Summary: The best there is...
Text: I have been using coconut oil as a body/face/hair moisturizer for about a year now and it has made all the difference in the world for my health. After doing a bit of research, I chose this product in particular due to the description, reviews, pricepoint, and the fact that it is a brand I have seen in many stores and am familiar with.<br /><br />The non-processed nature of this oil meets my skincare and haircare needs, but also makes it perfect for cooking as well. I bought it to use in the shower but now I cannot stop eating it on everything! It has a wonderfully light coconut smell and flavor, which is clearly natural and not from any artificial colorings or flavors. This is the best brand of coconut oil I have ever bought and it blends into my skin quickly and softly without feeling overly oily, tastes amazing, and washes out of my hair easily.<br /><br />My only complaint would be that it is packaged in a plastic container. While I am not too worried about the plastic leaching chemicals into the oil itself, I will be buying this product for the rest of my life and I'm sure I will be accumulating a lot of these plastic jars! Though they're recyclable, a glass jar would get reused immediately in my house. Other than that, I am perfectly pleased with this product! For the price, this can't be beat, it's worth spending the ~$10 to try it.<br /><br />Note: I couldn't find where this coconut product was harvested from on Amazon or the EfaGold website, but the bottle itself says it's a product of the Phillipines."
"Id: 329651
UserId: A2XAKGRUHIE2ZA
ProfileName: P. Stein ""Bengals Fan""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1328918400
Summary: Small dog loves these.  They don't last long.
Text: I have a 12 pound, 18 month old couton.  He would rate these as 5 stars.<br /><br />The problem is, he finishes these off in 5 minutes.<br /><br />This makes it an expensive dog biscuit, rather than a dental chew toy."
"Id: 563847
UserId: A37LNXZ3U8Z0PW
ProfileName: paranormal junkie
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 2
Time: 1343606400
Summary: ~~meh~~
